first_name,last_name,email,phone_number,address,student_id,major,gpa,vehicle_make,vehicle_model,vehicle_year,product_purchased,price
Aishani,Sarna,aishani.sarna346@yahoo.com,804469298,"H.No. 624, Karan Circle, Howrah-151696",S10013,Law,3.84,Kia,Corrupti 194,2002,Books - Balanced fresh-thinking data-warehouse,741.92
Yashvi,Kapoor,yashvi.kapoor203@gmail.com,3543494582,"H.No. 598, Prasad Ganj, Unnao 942366",S10014,Arts,2.91,Kia,Hic 197,2023,Sports Equipment - Persevering foreground strategy,52.02
Patrick,Singh,patrick.singh460@hotmail.com,9626541499,"H.No. 863, Ben Chowk, Jamnagar-673140",S10015,Engineering,2.29,Ford,Pariatur 590,1992,Electronics - Cloned 3rdgeneration methodology,4311.31
Nihal,Chandran,nihal.chandran832@hotmail.com,8001179476,"64, Manda Street, Dhanbad-701922",S10016,Law,3.34,BMW,Quasi 172,2005,Home Goods - Reduced non-volatile synergy,3974.98
Michael,Dutta,michael.dutta8@gmail.com,3490002649,"H.No. 443, Sabharwal Circle, Sambalpur 332337",S10017,Science,2.05,Toyota,Facilis 390,2000,Electronics - Compatible next generation capacity,1909.42
William,Munshi,william.munshi919@yahoo.com,6649832289,"H.No. 269, Khare Street, Indore 990963",S10018,Law,2.86,Honda,Blanditiis 786,2001,Electronics - Phased client-server website,605.15
Lopa,Narayan,lopa.narayan604@gmail.com,6035077903,"H.No. 15, Balasubramanian Marg, Khammam 610763",S10019,Business,2.07,Toyota,Expedita 957,2006,Sports Equipment - Phased motivating service-desk,1901.61
Kavya,Dey,kavya.dey544@yahoo.com,3349390588,"96/351, Jain Path, Karawal Nagar 567926",S10020,Science,3.11,Audi,Temporibus 640,2001,Books - Realigned client-driven emulation,2007.17
Shivani,Mishra,shivani.mishra76@yahoo.com,9071234889,"39/44, Ratti Street, Meerut-450960",S10021,Arts,3.61,Honda,Earum 553,1991,Clothing - Extended multi-tasking groupware,4480.69
Zansi,Keer,zansi.keer198@yahoo.com,5720701273,"15, Bhakta Ganj, Tenali-431613",S10022,Science,2.56,Kia,Quae 817,2014,Books - Re-contextualized 3rdgeneration ability,1177.86
Chandran,Kala,chandran.kala522@yahoo.com,4567870616,"H.No. 949, Mander Ganj, Pondicherry-038088",S10023,Arts,2.98,Honda,Incidunt 940,1994,Groceries - Customizable tangible ability,4521.17
Bhavna,Gopal,bhavna.gopal978@yahoo.com,3258865575,"35/014, Ben Chowk, Unnao 109430",S10024,Law,3.27,Kia,Beatae 979,1991,Books - Diverse directional service-desk,576.53
Ansh,Ramanathan,ansh.ramanathan301@hotmail.com,2060264916,"02/391, Chad Marg, Junagadh-110952",S10025,Computer Science,2.09,Kia,Officia 386,2022,Sports Equipment - Team-oriented hybrid Internet solution,4562.71
Thomas,Halder,thomas.halder278@hotmail.com,4117400990,"69/55, Kala Ganj, Anand-305617",S10026,Law,2.85,Kia,Fugiat 765,2013,Groceries - Organized optimizing analyzer,1214.19
Sanaya,Grover,sanaya.grover392@hotmail.com,3310101401,"450, Basak, Pallavaram 880545",S10027,Science,2.26,Hyundai,Molestias 365,1994,Clothing - Enterprise-wide disintermediate benchmark,1836.03
Samaksh,Shankar,samaksh.shankar883@gmail.com,3232372539,"H.No. 37, Narasimhan Zila, Arrah-599102",S10028,Law,3.03,Hyundai,Beatae 828,2000,Clothing - Compatible scalable customer loyalty,2561.07
Thomas,Prabhakar,thomas.prabhakar816@gmail.com,3378407990,"48/97, Comar Ganj, Giridih 348552",S10029,Science,3.82,BMW,Libero 338,2014,Groceries - Down-sized user-facing matrix,1362.97
Raghav,Shukla,raghav.shukla111@yahoo.com,1666165950,"48/345, Raghavan Path, Mehsana 406875",S10030,Business,3.58,Tata,Debitis 389,2018,Books - Grass-roots optimizing concept,2054.88
Indali,Reddy,indali.reddy341@yahoo.com,6493033362,"H.No. 474, Thaker Path, Tumkur-961580",S10031,Science,3.2,BMW,Quod 327,2000,Books - Versatile real-time benchmark,4708.21
Bhavna,Sidhu,bhavna.sidhu303@yahoo.com,1646659389,"H.No. 21, Buch Chowk, Raebareli 934388",S10032,Mathematics,3.41,Hyundai,Iste 502,1998,Electronics - Triple-buffered actuating projection,2288.1
Dipta,Sankaran,dipta.sankaran304@yahoo.com,5270150773,"87, Nigam Circle, Ichalkaranji 140190",S10033,Computer Science,3.26,Mahindra,Error 551,2002,Books - Innovative holistic matrix,2016.35
Neha,Keer,neha.keer154@hotmail.com,2875628544,"H.No. 755, Mall, Erode 115899",S10034,Engineering,3.88,Mahindra,Excepturi 317,2005,Toys - Decentralized intermediate customer loyalty,90.02
Aayush,Natarajan,aayush.natarajan567@hotmail.com,5490706228,"947, Walia Marg, Erode-237992",S10035,Computer Science,3.53,Mahindra,Voluptatem 207,2017,Electronics - Total executive frame,1996.29
Inaya,Dani,inaya.dani240@gmail.com,7708191981,"H.No. 438, Divan Road, Ichalkaranji 970176",S10036,Arts,3.91,Mercedes-Benz,Corrupti 604,1991,Home Goods - Secured leadingedge paradigm,1060.53
Yasti,Nadkarni,yasti.nadkarni802@hotmail.com,4374478724,"50/06, Rajagopal Chowk, Mysore-529992",S10037,Arts,2.57,Toyota,Ipsum 343,2004,Clothing - Organized high-level toolset,506.11
Luke,Upadhyay,luke.upadhyay422@yahoo.com,9894895929,"693, Dubey, Kulti 324533",S10038,Business,3.64,Audi,Quam 164,2003,Electronics - Integrated zero-defect portal,2069.6
Baghyawati,Subramaniam,baghyawati.subramaniam260@gmail.com,940552310,"49/63, Dhar Circle, Srinagar-762401",S10039,Arts,3.54,Toyota,Possimus 816,1997,Groceries - Right-sized even-keeled software,2141.44
Chaitanya,Mahal,chaitanya.mahal231@hotmail.com,3856986228,"985, Loyal Ganj, Dhule 082105",S10040,Mathematics,3.14,Mahindra,Nam 807,1997,Electronics - Stand-alone maximized access,3699.55
Krishna,Thaker,krishna.thaker199@hotmail.com,880426405,"36/193, Solanki Street, Jamshedpur-617140",S10041,Law,3.59,Ford,Ipsum 332,2010,Books - Optimized hybrid leverage,3551.73
Zayyan,Johal,zayyan.johal329@gmail.com,6419362339,"91/766, Ghose Marg, Karawal Nagar-487448",S10042,Business,2.44,Hyundai,Praesentium 484,1991,Books - Networked discrete hierarchy,4585.18
Qadim,Tella,qadim.tella276@yahoo.com,6723064135,"89/313, Khurana Ganj, Kulti 396866",S10043,Law,3.27,Mahindra,Voluptate 934,1996,Toys - Multi-channeled tertiary moderator,823.7
Deepa,Mutti,deepa.mutti149@hotmail.com,4852524434,"H.No. 390, Vyas Circle, Farrukhabad 468353",S10044,Mathematics,3.53,Honda,Labore 952,2012,Home Goods - Secured 4thgeneration task-force,414.91
Laban,Kalla,laban.kalla792@gmail.com,8986722907,"H.No. 93, Sandal Path, Nandyal 326018",S10045,Science,3.6,Audi,Vel 634,1993,Sports Equipment - Versatile zero tolerance data-warehouse,3761.15
Banjeet,Majumdar,banjeet.majumdar89@yahoo.com,3414942758,"H.No. 65, Doctor Zila, Bally 937930",S10046,Science,2.01,Tata,Harum 568,2019,Electronics - Open-architected global archive,1712.99
Aadi,Balay,aadi.balay40@yahoo.com,309837701,"H.No. 389, Gole Chowk, Berhampore 837391",S10047,Computer Science,3.15,Mahindra,Aliquid 836,2000,Electronics - Decentralized logistical moratorium,3749.46
Charita,Pal,charita.pal645@hotmail.com,1101178220,"29/721, Ratti Street, Bulandshahr 173258",S10048,Law,3.98,Toyota,Iure 420,1991,Books - Centralized demand-driven framework,3877.9
Bhavini,Kaur,bhavini.kaur282@yahoo.com,340800050,"171, Patla Street, Korba 513298",S10049,Engineering,2.44,Toyota,Enim 785,2020,Groceries - Persevering uniform paradigm,1162.62
Ronith,Mahal,ronith.mahal281@yahoo.com,1071976004,"H.No. 44, Bedi Path, Miryalaguda 954397",S10050,Medicine,2.47,Tata,Inventore 911,1996,Home Goods - Reactive empowering synergy,2437.48
Ishaan,Hayre,ishaan.hayre500@hotmail.com,7107990776,"35, Oak Circle, North Dumdum-919521",S10051,Science,2.09,Mahindra,Dignissimos 688,1997,Home Goods - Grass-roots zero administration system engine,127.24
Balhaar,Koshy,balhaar.koshy661@hotmail.com,4464495188,"482, Verma Ganj, New Delhi-214357",S10052,Arts,3.6,Tata,Sunt 411,2011,Clothing - Distributed zero tolerance hierarchy,2620.76
Champak,Chowdhury,champak.chowdhury474@yahoo.com,3117759978,"537, Malhotra Road, Sikar 694787",S10053,Science,2.57,Honda,Exercitationem 645,1997,Home Goods - Advanced next generation knowledge user,3471.56
Chandani,Maharaj,chandani.maharaj271@hotmail.com,9978914086,"249, Lata Circle, Thanjavur-331357",S10054,Mathematics,2.45,Kia,Dolorem 276,2010,Books - Profit-focused optimal open system,3090.26
Zilmil,Ben,zilmil.ben756@hotmail.com,2422907671,"705, Bhardwaj Chowk, Erode-241850",S10055,Business,2.77,Mahindra,Illo 435,2022,Clothing - Persistent dynamic time-frame,4857.6
Diya,Narain,diya.narain758@yahoo.com,9932348680,"H.No. 888, Ramaswamy Zila, Loni-818190",S10056,Engineering,3.02,Hyundai,Odio 372,2014,Electronics - Grass-roots cohesive emulation,3476.4
Bhavna,Gaba,bhavna.gaba805@gmail.com,3350270597,"H.No. 14, Chacko Nagar, Muzaffarpur-750460",S10057,Mathematics,2.29,Audi,Magnam 878,1998,Sports Equipment - Function-based explicit policy,3784.96
Brijesh,Bhatt,brijesh.bhatt178@gmail.com,3531867311,"68, Menon Marg, Khandwa-203584",S10058,Business,3.34,Hyundai,Explicabo 814,2001,Electronics - Advanced client-driven archive,4473.93
Zaitra,Trivedi,zaitra.trivedi733@yahoo.com,4550615366,"80, Bawa Zila, Latur 196741",S10059,Computer Science,2.87,Audi,Maiores 232,2004,Toys - Upgradable composite budgetary management,3468.46
Netra,Bakshi,netra.bakshi946@gmail.com,4108401298,"44/024, Goel Road, Madhyamgram 311431",S10060,Medicine,3.61,Toyota,Quae 868,2007,Sports Equipment - Ameliorated intangible infrastructure,1176.29
Simon,Sama,simon.sama321@yahoo.com,1839419458,"97/108, Sagar Circle, Jamshedpur 125078",S10061,Science,2.75,Toyota,Eum 464,2002,Home Goods - Cross-platform discrete moratorium,2997.47
Odika,Dhar,odika.dhar820@yahoo.com,3402252056,"89/997, Vig Zila, Imphal 198920",S10062,Science,3.92,Kia,Quisquam 400,2000,Clothing - Persevering holistic encryption,3686.29
Libni,Sridhar,libni.sridhar22@gmail.com,7304593995,"190, Gera, Noida-907956",S10063,Science,3.95,Kia,Sed 443,1990,Home Goods - Open-architected transitional info-mediaries,3451.2
Vansha,Khalsa,vansha.khalsa314@hotmail.com,7460869728,"42, Walla Chowk, Ahmedabad 578095",S10064,Computer Science,3.55,Toyota,Dignissimos 421,1994,Toys - Streamlined zero tolerance attitude,3753.82
Aadi,Munshi,aadi.munshi729@yahoo.com,7199604626,"76/42, Singh Chowk, Khammam-752815",S10065,Business,3.54,Mahindra,Nam 688,2016,Books - Multi-lateral asymmetric paradigm,1102.46
Adweta,Ghosh,adweta.ghosh520@yahoo.com,417419009,"H.No. 27, Bajwa Road, Dehri 211195",S10066,Mathematics,2.56,Honda,Voluptates 375,2017,Home Goods - Centralized regional leverage,338.6
Aishani,Chowdhury,aishani.chowdhury553@gmail.com,1497460273,"H.No. 37, Nigam Road, Raiganj 103538",S10067,Law,2.51,Mahindra,Officiis 927,2012,Home Goods - Public-key scalable extranet,1679.53
Dayita,Dewan,dayita.dewan215@yahoo.com,6558109028,"95/75, Iyer Street, Thiruvananthapuram 988390",S10068,Science,2.58,Hyundai,Illo 469,1992,Books - Devolved next generation pricing structure,2915.48
Pranav,Gupta,pranav.gupta59@gmail.com,3178784583,"H.No. 560, Sood Nagar, Bhilwara 292091",S10069,Engineering,3.02,Toyota,Recusandae 811,2005,Electronics - Multi-lateral leadingedge hardware,3975.58
Hema,Saxena,hema.saxena856@hotmail.com,1925517979,"10/698, Kale Marg, Jalna 522650",S10070,Law,2.89,Tata,Amet 362,2023,Groceries - Robust local middleware,2771.74
Darpan,Ahuja,darpan.ahuja162@hotmail.com,7112441867,"862, Nadkarni Ganj, Jalandhar 173313",S10071,Engineering,2.37,Tata,Deserunt 265,1990,Groceries - Cross-platform mobile framework,2058.55
Chandani,Naik,chandani.naik724@gmail.com,7629558693,"H.No. 24, Sur Street, Nanded 237732",S10072,Science,2,BMW,Minus 608,1996,Home Goods - Integrated dedicated artificial intelligence,1853.52
Pranav,Sule,pranav.sule850@hotmail.com,8670277571,"32/346, Shankar Marg, Bhopal-675581",S10073,Business,3.79,Mahindra,Quibusdam 132,2006,Books - Fully-configurable reciprocal toolset,943.54
Ishanvi,Kanda,ishanvi.kanda627@yahoo.com,9181918413,"H.No. 74, Ganesan Zila, Jhansi-922406",S10074,Computer Science,3.84,Toyota,Quis 369,2004,Sports Equipment - Phased intermediate Internet solution,448.23
Idika,Saraf,idika.saraf419@yahoo.com,7379253021,"190, Khare Nagar, Raurkela Industrial Township 898731",S10075,Business,3.71,Tata,Numquam 948,2009,Home Goods - Reduced object-oriented benchmark,4816.25
Isaiah,Kothari,isaiah.kothari995@yahoo.com,3025626165,"H.No. 19, Vyas Marg, Karimnagar 182854",S10076,Business,3.13,BMW,Consequuntur 855,1995,Clothing - Compatible object-oriented open system,3899.5
Onveer,Sagar,onveer.sagar887@gmail.com,8640293131,"71/088, Menon Marg, Udaipur 789610",S10077,Science,3.57,Toyota,Quisquam 443,2023,Books - Front-line maximized instruction set,1045.92
Forum,Bir,forum.bir391@hotmail.com,7816916608,"86, Sani Road, Kakinada 015654",S10078,Engineering,3.35,Honda,Aperiam 629,2015,Home Goods - Synchronized static extranet,3852.48
Faras,Bhatia,faras.bhatia624@hotmail.com,9765531186,"68, Shah Road, Kozhikode-975485",S10079,Engineering,3.68,Ford,Ratione 693,2007,Clothing - Automated context-sensitive task-force,4617.63
Rushil,Singhal,rushil.singhal469@yahoo.com,6585218826,"73, Char Marg, Morbi-484710",S10080,Business,2.22,Toyota,Sint 544,2013,Toys - Diverse composite knowledge user,3289.37
Yachana,Babu,yachana.babu928@hotmail.com,3871366682,"74, Ramachandran Path, Satna-342236",S10081,Business,3.2,Mercedes-Benz,Maiores 372,2013,Clothing - Vision-oriented optimizing approach,989.4
Ekantika,Chaudry,ekantika.chaudry949@hotmail.com,9222038129,"H.No. 222, Jayaraman Marg, Karimnagar 578829",S10082,Science,3.33,Audi,Laboriosam 984,2016,Home Goods - Focused didactic focus group,3272.5
Ojasvi,Varma,ojasvi.varma792@hotmail.com,9251295963,"98, Goel Nagar, Baranagar-185424",S10083,Engineering,3.73,Toyota,Perspiciatis 764,2014,Clothing - Quality-focused exuding task-force,2177.06
Mekhala,Kumer,mekhala.kumer748@hotmail.com,7908708274,"752, Sarin Zila, Bikaner-544980",S10084,Mathematics,3.48,BMW,Rem 215,1995,Home Goods - Reactive regional projection,1606.79
Tejas,Naik,tejas.naik455@gmail.com,3783730462,"48/37, Shukla, Aizawl 176253",S10085,Engineering,3.75,Ford,Mollitia 558,2003,Home Goods - Cross-platform mission-critical task-force,2703.54
Chaaya,Ramakrishnan,chaaya.ramakrishnan707@yahoo.com,6407649392,"78, Bhargava Marg, Dindigul-934864",S10086,Computer Science,2.87,Mahindra,Occaecati 753,2017,Books - Polarized impactful definition,1522.54
Siya,Walla,siya.walla521@yahoo.com,5183798572,"32/17, Sachdeva Street, Thane 448439",S10087,Arts,3.97,Kia,Sed 899,2012,Home Goods - Devolved background focus group,353.31
Bimala,Ravel,bimala.ravel172@hotmail.com,2685773990,"29, Garde, Panchkula 041433",S10088,Science,3.98,Ford,Eveniet 889,2021,Electronics - Customizable intermediate framework,853.46
Rachit,Chahal,rachit.chahal894@gmail.com,4974544962,"213, Sengupta Road, Satna 179438",S10089,Business,2.77,Ford,Consequatur 990,2006,Groceries - Reverse-engineered user-facing monitoring,3354.21
Ekaja,Kapur,ekaja.kapur68@yahoo.com,5120298061,"H.No. 90, Wable Chowk, Surendranagar Dudhrej 428111",S10090,Mathematics,3.71,Honda,Officia 611,2003,Books - User-centric logistical hierarchy,3379.08
Jatin,Chaudhuri,jatin.chaudhuri737@gmail.com,5232054389,"41/03, Chatterjee Marg, Rajahmundry 291049",S10091,Arts,2.72,BMW,Sit 661,2006,Electronics - Proactive dynamic superstructure,2208.86
Brijesh,Setty,brijesh.setty847@hotmail.com,236086950,"H.No. 09, Parmer Circle, Moradabad-495646",S10092,Science,2.41,Mercedes-Benz,Id 169,2004,Clothing - Robust dynamic artificial intelligence,1668.13
Xiti,Pillay,xiti.pillay593@hotmail.com,2888492901,"H.No. 79, Sekhon Chowk, Tadepalligudem 610451",S10093,Science,3.18,Mahindra,Ipsum 321,1998,Home Goods - Monitored fault-tolerant solution,549.19
Nicholas,Hayre,nicholas.hayre951@gmail.com,4783893292,"102, Kibe Circle, Karaikudi 056177",S10094,Engineering,3.14,Toyota,Deserunt 507,2013,Electronics - Sharable user-facing process improvement,940.45
Ekalinga,Mann,ekalinga.mann668@gmail.com,9508034607,"H.No. 350, Bajaj Marg, Meerut-142724",S10095,Business,3.71,Mahindra,Expedita 613,2016,Books - Reactive 5thgeneration solution,3024.8
Peter,Mistry,peter.mistry336@gmail.com,7942604197,"98/98, Tank Path, Suryapet-097107",S10096,Business,2.62,Honda,Aliquam 800,1996,Toys - De-engineered attitude-oriented extranet,1699.33
Vasana,Seshadri,vasana.seshadri457@hotmail.com,7621906810,"23/874, Bahri, Jalgaon-216113",S10097,Science,3.74,Honda,Cumque 114,2009,Sports Equipment - Sharable impactful groupware,4864.63
Jonathan,Basu,jonathan.basu507@yahoo.com,473552754,"H.No. 11, Dash Ganj, Panihati-893171",S10098,Law,3.52,Audi,Minus 722,2016,Toys - Automated background task-force,2097.27
Chakradev,Devan,chakradev.devan14@gmail.com,9150564512,"44/970, Joshi Path, Hubli–Dharwad 666819",S10099,Engineering,2.07,Honda,Inventore 851,2007,Books - Multi-layered asynchronous knowledgebase,1266.06
Ria,Mishra,ria.mishra728@hotmail.com,7477795650,"100, Ahluwalia Nagar, Dharmavaram-217604",S10100,Business,3.87,Tata,Est 948,2011,Clothing - Operative empowering matrices,3065.27
